source_file_name,source_row_number,street,from_street,to_street,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Pavement Moratorium.csv,71,Se 60Th Ave,Harrison St,180' N of Hawthorne Blvd,103,"1998 SE 60th Ave, Portland, OR 97215","",3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.60177,45.508593]}",
Pavement Moratorium.csv,72,Sw Stark St,Broadway,SW 10th Ave,104,"700 SW Stark St, Portland, OR 97205","1000 SW Stark St, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.678538,45.521346]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.681066,45.522021]}"
Pavement Moratorium.csv,73,Se Ladd Av,Se Division St,Se Hawthorne St,105,"2498 SE Ladd Ave, Portland, OR 97214","1500 SE Ladd Ave, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.645084,45.504823]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.653675,45.51221]}"
Pavement Moratorium.csv,74,Se Belmont St,Se Grand Av,Se 12Th Av,106,"499 SE Belmont St, Portland, OR 97214","1199 SE Belmont St, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660753,45.516523]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.653653,45.516493]}"
Pavement Moratorium.csv,75,Nw 11Th Ave,Nw Hoyt St,Nw Glisan St,107,"599 NW 11th Ave, Portland, OR 97209","501 NW 11th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.682276,45.527236]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.682249,45.526523]}"
Pavement Moratorium.csv,76,Ne Weidler St,Martin Luther King Jr Blvd,Grand Ave,108,"","499 NE Weidler St, Portland, OR 97232",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660635,45.534358]}"
Pavement Moratorium.csv,77,Se Morrison St,Grand Ave,12Th Ave,109,"501 SE Morrison St, Portland, OR 97214","1200 SW Morrison St, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660757,45.517222]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.684143,45.520556]}"
Pavement Moratorium.csv,78,Se 11Th Ave,Division St,Hawthorne Blvd,110,"2498 SE 11th Ave, Portland, OR 97214","1498 SE 11th Ave, Portland, OR 97214",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.654743,45.504858]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.654692,45.512215]}"
Pavement Moratorium.csv,79,Ne 24Th Ave,Weidler St (W Side),Brazee St,111,"1601 NE 24th Ave, Portland, OR 97232","2501 NE 24th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.641163,45.53438]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.64114,45.540492]}"
Pavement Moratorium.csv,80,Ne Grand Ave,111' S of Lloyd Blvd,Holladay St,112,"","998 NE Grand Ave, Portland, OR 97232",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.660662,45.530054]}"
